UniProt ID (2598),Description,Resistance mechanism
P60932,Undecaprenyl-diphosphatase,target alteration
P60933,Undecaprenyl-diphosphatase,target alteration
P60934,Undecaprenyl-diphosphatase,target alteration
P60935,Undecaprenyl-diphosphatase,target alteration
P60936,Undecaprenyl-diphosphatase,target alteration
P60937,Undecaprenyl-diphosphatase,target alteration
P60938,Undecaprenyl-diphosphatase,target alteration
P60939,Undecaprenyl-diphosphatase,target alteration
P60940,Undecaprenyl-diphosphatase,target alteration
P60941,Undecaprenyl-diphosphatase,target alteration
P62461,Undecaprenyl-diphosphatase 1,target alteration
P62462,Undecaprenyl-diphosphatase 2,target alteration
P62463,Undecaprenyl-diphosphatase 3,target alteration
P62464,Undecaprenyl-diphosphatase,target alteration
P62465,Undecaprenyl-diphosphatase,target alteration
P62466,Undecaprenyl-diphosphatase,target alteration
P62467,Undecaprenyl-diphosphatase,target alteration
P62577,Chloramphenicol acetyltransferase,product inactivation
P62578,Chloramphenicol acetyltransferase,product inactivation
P62579,Chloramphenicol acetyltransferase,product inactivation
P62580,Chloramphenicol acetyltransferase,product inactivation
P62593,Beta-lactamase TEM,product inactivation
P62594,Beta-lactamase TEM,product inactivation
P62967,Tetracycline resistance protein,efflux pump
P63201,HTH-type transcriptional regulator GadW,efflux pump
P63619,Arsenical pump membrane protein,efflux pump
P63620,Arsenical pump membrane protein,efflux pump
P64176,Macrolide export protein MacA,efflux pump
P64177,Macrolide export protein MacA,efflux pump
P64784,Multidrug efflux pump Tap,efflux pump
P67384,Undecaprenyl-diphosphatase,target alteration
P67385,Undecaprenyl-diphosphatase,target alteration
P67386,Undecaprenyl-diphosphatase,target alteration
P67387,Undecaprenyl-diphosphatase,target alteration
P67388,Undecaprenyl-diphosphatase,target alteration
P67389,Undecaprenyl-diphosphatase,target alteration
P67390,Undecaprenyl-diphosphatase,target alteration
P67391,Undecaprenyl-diphosphatase,target alteration
P67392,Undecaprenyl-diphosphatase,target alteration
P67394,Undecaprenyl-diphosphatase,target alteration
P67918,Beta-lactamase ROB-1,product inactivation
P67919,Beta-lactamase ROB-1,product inactivation
P67920,Beta-lactamase ROB-1,product inactivation
P67925,Bleomycin resistance protein,product inactivation
P68261,Methicillin resistance regulatory protein MecI,target replacement
P68262,Methicillin resistance regulatory protein MecI,target replacement
P68263,Methicillin resistance regulatory protein MecI,target replacement
P69210,Spermidine export protein MdtI,efflux pump
P69211,Spermidine export protein MdtI,efflux pump
P69212,Spermidine export protein MdtJ,efflux pump
P69213,Spermidine export protein MdtJ,efflux pump
P69214,Spermidine export protein MdtJ,efflux pump
P69340,Multidrug resistance protein MdtB,efflux pump
P69367,Multidrug resistance protein MdtH,efflux pump
P69368,Multidrug resistance protein MdtH,efflux pump
P69913,Carbon storage regulator,efflux pump
P69927,Multidrug resistance protein mmr,efflux pump
P69937,Guanidinium exporter,efflux pump
P69938,Guanidinium exporter,efflux pump
P70882,Tetracycline resistance protein TetQ,target protection
P71043,Putative phosphinothricin acetyltransferase YwnH,product inactivation
P72231,Elongation factor Tu,target alteration
P72533,Tetracycline resistance protein TetO,target protection
P74841,Beta-lactamase CTX-M-2,product inactivation
P74985,Arsenical pump membrane protein,efflux pump
P75830,Macrolide export protein MacA,efflux pump
P75831,Macrolide export ATP-binding/permease protein MacB,efflux pump
P75849,Hydroxyacylglutathione hydrolase GloC,product inactivation
P76112,L-amino acid N-acyltransferase MnaT,product inactivation
P76397,Multidrug resistance protein MdtA,efflux pump
P76398,Multidrug resistance protein MdtB,efflux pump
P76399,Multidrug resistance protein MdtC,efflux pump
P76473,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
P77211,Cation efflux system protein CusC,efflux pump
P77265,Multidrug resistance-like ATP-binding protein MdlA,efflux pump
P77279,Probable iron export ATP-binding protein FetA,efflux pump
P77398,Bifunctional polymyxin resistance protein ArnA,target alteration
P77757,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
P78218,Dihydrofolate reductase type 15,product inactivation
P80298,Beta-lactamase,product inactivation
P80545,Beta-lactamase,product inactivation
P81781,Beta-lactamase CARB-6,product inactivation
P85302,Beta-lactamase,product inactivation
P86889,Macrolide efflux protein A (Fragment),efflux pump
P94177,Cation efflux system protein CzcA,efflux pump
P94186,Mercuric transport protein periplasmic component,efflux pump
P94440,Linearmycin resistance ATP-binding protein LnrL,efflux pump
P94507,Undecaprenyl-diphosphatase,target alteration
P94571,Undecaprenyl-diphosphatase BcrC,target alteration
P94958,Beta-lactamase,product inactivation
P94967,Alanine racemase,target alteration
P94968,Aminoglycoside 2'-N-acetyltransferase,product inactivation
P95524,Dihydrofolate reductase type 6,product inactivation
P95827,Macrolide efflux protein A,efflux pump
P96348,Beta-lactamase SHV-6 (Fragment),product inactivation
P96465,Beta-lactamase L2,product inactivation
P96678,Putative arsenical pump membrane protein YdfA,efflux pump
P96712,Multidrug resistance protein 3,efflux pump
P97046,Multidrug resistance ABC transporter ATP-binding and permease protein,efflux pump
P9WFF8,Undecaprenyl-diphosphatase,target alteration
P9WFF9,Undecaprenyl-diphosphatase,target alteration
P9WFV2,Isoleucine--tRNA ligase,target alteration
P9WFV3,Isoleucine--tRNA ligase,target alteration
P9WG88,Multidrug resistance protein B homolog,efflux pump
P9WG89,Multidrug resistance protein B homolog,efflux pump
P9WG90,Multidrug resistance protein Stp,efflux pump
P9WG91,Multidrug resistance protein Stp,efflux pump
P9WGF0,Multidrug resistance protein Mmr,efflux pump
P9WGF1,Multidrug resistance protein Mmr,efflux pump
P9WGM8,Response regulator MprA,efflux pump
P9WGM9,Response regulator MprA,efflux pump
P9WGY8,DNA-directed RNA polymerase subunit beta,target replacement
P9WGY9,DNA-directed RNA polymerase subunit beta,target replacement
P9WJW8,Drug efflux pump JefA,efflux pump
P9WJW9,Drug efflux pump JefA,efflux pump
P9WJX6,Chloramphenicol efflux pump MT0201,efflux pump
P9WJX7,Chloramphenicol efflux pump Rv0191,efflux pump
P9WJX8,Multidrug efflux pump Tap,efflux pump
P9WJX9,Multidrug efflux pump Tap,efflux pump
P9WJY3,Probable triacylglyceride transporter Rv1410c,efflux pump
P9WKD2,Beta-lactamase,product inactivation
P9WKD3,Beta-lactamase,product inactivation
P9WND1,Dihydropteroate synthase,target alteration
P9WQG8,Aminoglycoside 2'-N-acetyltransferase,product inactivation
P9WQG9,Aminoglycoside 2'-N-acetyltransferase,product inactivation
P9WQL6,Fluoroquinolones export ATP-binding protein MT2762,efflux pump
P9WQL7,Fluoroquinolones export ATP-binding protein Rv2688c,efflux pump
P9WQL8,Doxorubicin resistance ATP-binding protein DrrA,efflux pump
P9WQL9,Doxorubicin resistance ATP-binding protein DrrA,efflux pump
Q00014,rRNA adenine N-6-methyltransferase,target alteration
Q00538,Methylenomycin A resistance protein,efflux pump
Q00923,Hydroxyurea phosphotransferase,product inactivation
Q00937,Tetracycline resistance protein TetQ,target protection
Q00982,Beta-lactamase OXA-5,product inactivation
Q00983,Beta-lactamase LCR-1,product inactivation
Q01166,Beta-lactamase,product inactivation
Q01255,Arsenical pump membrane protein,efflux pump
Q01515,Aminoglycoside N(3)-acetyltransferase III,product inactivation
Q01911,Flavin-dependent monooxygenase,efflux pump
Q01WE6,Undecaprenyl-diphosphatase,target alteration
Q02149,Probable aminoglycoside 3'-phosphotransferase,product inactivation
Q02607,rRNA adenine N-6-methyltransferase,target alteration
Q02652,Tetracycline resistance protein TetM,target protection
Q02736,Chloramphenicol acetyltransferase,product inactivation
Q02LA5,Undecaprenyl-diphosphatase,target alteration
Q02MI4,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q02R24,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q02R25,Bifunctional polymyxin resistance protein ArnA,target alteration
Q02R27,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q02VT8,Undecaprenyl-diphosphatase,target alteration
Q03058,Chloramphenicol acetyltransferase,product inactivation
Q03170,Beta-lactamase PSE-1,product inactivation
Q03377,Metallothiol transferase FosB,product inactivation
Q03447,Aminoglycoside 3'-phosphotransferase,product inactivation
Q03680,Beta-lactamase 1,product inactivation
Q03986,rRNA adenine N-6-methyltransferase,target alteration
Q03AR6,Undecaprenyl-diphosphatase,target alteration
Q03MN6,Undecaprenyl-diphosphatase,target alteration
Q03ZT9,Undecaprenyl-diphosphatase,target alteration
Q04515,Dihydrofolate reductase type A10,product inactivation
Q04720,rRNA adenine N-6-methyltransferase,target alteration
Q04733,Cephamycin export protein CmcT,efflux pump
Q04BL0,Undecaprenyl-diphosphatase,target alteration
Q04D15,Undecaprenyl-diphosphatase 2,target alteration
Q04FK3,Undecaprenyl-diphosphatase 1,target alteration
Q04M23,Undecaprenyl-diphosphatase,target alteration
Q04SA1,Undecaprenyl-diphosphatase,target alteration
Q050C7,Undecaprenyl-diphosphatase,target alteration
Q05709,D-specific alpha-keto acid dehydrogenase,target alteration
Q06239,Regulatory protein VanR,target alteration
Q06240,Sensor protein VanS,target alteration
Q06241,D-alanyl-D-alanine dipeptidase,target alteration
Q06242,Protein VanZ,target alteration
Q06316,Beta-lactamase,product inactivation
Q06650,Beta-lactamase,product inactivation
Q06778,Beta-lactamase OXA-11,product inactivation
Q06893,Vancomycin B-type resistance protein VanB,target alteration
Q06DK7,Flavin-dependent monooxygenase,efflux pump
Q07282,Tetracycline resistance protein, class E,efflux pump
Q07448,Spectinomycin 9-adenylyltransferase,product inactivation
Q07868,Penicillin-binding protein 2B,target replacement
Q07UC1,Undecaprenyl-diphosphatase,target alteration
Q07YT7,Undecaprenyl-diphosphatase,target alteration
Q08325,16S rRNA (guanine(1405)-N(7))-methyltransferase,target alteration
Q08425,Tetracycline resistance protein TetQ,target protection
Q0AAG2,Undecaprenyl-diphosphatase,target alteration
Q0AJJ0,Undecaprenyl-diphosphatase,target alteration
Q0ATH6,Undecaprenyl-diphosphatase,target alteration
Q0AXH9,Undecaprenyl-diphosphatase,target alteration
Q0BGG1,Undecaprenyl-diphosphatase 2,target alteration
Q0BHM0,Undecaprenyl-diphosphatase 1,target alteration
Q0BTT3,Undecaprenyl-diphosphatase,target alteration
Q0C1N8,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q0C618,Undecaprenyl-diphosphatase,target alteration
Q0HG46,Undecaprenyl-diphosphatase,target alteration
Q0HSD9,Undecaprenyl-diphosphatase,target alteration
Q0I740,Undecaprenyl-diphosphatase,target alteration
Q0K7S4,Undecaprenyl-diphosphatase,target alteration
Q0PAR0,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q0RHR9,Undecaprenyl-diphosphatase 3,target alteration
Q0RKT0,Undecaprenyl-diphosphatase 1,target alteration
Q0SAA3,Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX,target alteration
Q0SIC2,Undecaprenyl-diphosphatase,target alteration
Q0SNQ3,Undecaprenyl-diphosphatase,target alteration
Q0STN1,Undecaprenyl-diphosphatase,target alteration
Q0SYK8,Purine ribonucleoside efflux pump NepI,efflux pump
Q0SYP9,Multidrug resistance protein MdtL,efflux pump
Q0T0K6,Undecaprenyl-diphosphatase,target alteration
Q0T2M6,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q0T2M8,Bifunctional polymyxin resistance protein ArnA,target alteration
Q0T2M9,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q0T353,Putative multidrug resistance protein MdtD,efflux pump
Q0T354,Multidrug resistance protein MdtC,efflux pump
Q0T4A9,Multidrug resistance protein MdtK,efflux pump
Q0T4H7,Spermidine export protein MdtJ,efflux pump
Q0T4H8,Spermidine export protein MdtI,efflux pump
Q0T5W7,Multidrug resistance protein MdtH,efflux pump
Q0TAZ8,Multidrug resistance protein MdtL,efflux pump
Q0TB40,Purine ribonucleoside efflux pump NepI,efflux pump
Q0TD49,Undecaprenyl-diphosphatase,target alteration
Q0TFI5,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q0TFI7,Bifunctional polymyxin resistance protein ArnA,target alteration
Q0TFI8,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q0TG13,Putative multidrug resistance protein MdtD,efflux pump
Q0TG14,Multidrug resistance protein MdtC,efflux pump
Q0TG15,Multidrug resistance protein MdtB,efflux pump
Q0TG16,Multidrug resistance protein MdtA,efflux pump
Q0THG4,Multidrug resistance protein MdtK,efflux pump
Q0THM8,Spermidine export protein MdtJ,efflux pump
Q0THM9,Spermidine export protein MdtI,efflux pump
Q0TJ09,Multidrug resistance protein MdtH,efflux pump
Q0TJ20,Multidrug resistance protein MdtG,efflux pump
Q0TJH0,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q0TRA5,Undecaprenyl-diphosphatase,target alteration
Q0VQH0,Undecaprenyl-diphosphatase,target alteration
Q0VT01,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q0WF87,Spermidine export protein MdtI,efflux pump
Q10VH5,Undecaprenyl-diphosphatase,target alteration
Q11CA6,Undecaprenyl-diphosphatase,target alteration
Q11WJ0,Undecaprenyl-diphosphatase,target alteration
Q127N8,Undecaprenyl-diphosphatase,target alteration
Q12KC1,Undecaprenyl-diphosphatase,target alteration
Q13ES7,Undecaprenyl-diphosphatase,target alteration
Q13V13,Undecaprenyl-diphosphatase 1,target alteration
Q13W85,Undecaprenyl-diphosphatase 2,target alteration
Q15BH7,Aminoglycoside N(6')-acetyltransferase type 1,product inactivation
Q15X16,Undecaprenyl-diphosphatase,target alteration
Q16DZ2,Undecaprenyl-diphosphatase,target alteration
Q184H7,Undecaprenyl-diphosphatase 2,target alteration
Q18BJ5,Undecaprenyl-diphosphatase 1,target alteration
Q1AWM0,Undecaprenyl-diphosphatase,target alteration
Q1B3X8,Response regulator MprA,efflux pump
Q1B571,Virginiamycin B lyase,product inactivation
Q1B769,Undecaprenyl-diphosphatase,target alteration
Q1BPZ6,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q1BXA8,Undecaprenyl-diphosphatase 2,target alteration
Q1BYF5,Undecaprenyl-diphosphatase 1,target alteration
Q1C369,Undecaprenyl-diphosphatase,target alteration
Q1C5L8,Putative multidrug resistance protein MdtD,efflux pump
Q1C5L9,Multidrug resistance protein MdtC,efflux pump
Q1C5M1,Multidrug resistance protein MdtA,efflux pump
Q1C5W7,Macrolide export ATP-binding/permease protein MacB 2,efflux pump
Q1C741,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q1C742,Bifunctional polymyxin resistance protein ArnA,target alteration
Q1C744,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q1C769,Multidrug resistance protein MdtK,efflux pump
Q1C803,Spermidine export protein MdtI,efflux pump
Q1C804,Spermidine export protein MdtJ,efflux pump
Q1C833,Multidrug resistance protein MdtH,efflux pump
Q1CA99,Macrolide export ATP-binding/permease protein MacB 1,efflux pump
Q1CGD7,Macrolide export ATP-binding/permease protein MacB 2,efflux pump
Q1CIH6,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q1CIH7,Bifunctional polymyxin resistance protein ArnA,target alteration
Q1CIH9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q1CIK5,Multidrug resistance protein MdtK,efflux pump
Q1CJF4,Spermidine export protein MdtI,efflux pump
Q1CJF5,Spermidine export protein MdtJ,efflux pump
Q1CJI3,Multidrug resistance protein MdtH,efflux pump
Q1CJW8,Macrolide export ATP-binding/permease protein MacB 1,efflux pump
Q1CK59,Multidrug resistance protein MdtA,efflux pump
Q1CK61,Multidrug resistance protein MdtC,efflux pump
Q1CK62,Putative multidrug resistance protein MdtD,efflux pump
Q1CMD9,Undecaprenyl-diphosphatase,target alteration
Q1CY86,Undecaprenyl-diphosphatase,target alteration
Q1GB63,Undecaprenyl-diphosphatase,target alteration
Q1GCR3,Undecaprenyl-diphosphatase,target alteration
Q1GR76,Undecaprenyl-diphosphatase,target alteration
Q1GY95,Undecaprenyl-diphosphatase,target alteration
Q1I7I9,Macrolide export ATP-binding/permease protein MacB 2,efflux pump
Q1I966,Macrolide export ATP-binding/permease protein MacB 1,efflux pump
Q1I9H0,Undecaprenyl-diphosphatase,target alteration
Q1IPW7,Undecaprenyl-diphosphatase,target alteration
Q1IZI4,Undecaprenyl-diphosphatase,target alteration
Q1J8H6,Undecaprenyl-diphosphatase,target alteration
Q1JDJ9,Undecaprenyl-diphosphatase,target alteration
Q1JIM0,Undecaprenyl-diphosphatase,target alteration
Q1JNH1,Undecaprenyl-diphosphatase,target alteration
Q1LJU8,Undecaprenyl-diphosphatase,target alteration
Q1LSL8,Undecaprenyl-diphosphatase,target alteration
Q1LTM2,Multidrug resistance protein MdtH,efflux pump
Q1MMI4,Undecaprenyl-diphosphatase,target alteration
Q1MQW6,Undecaprenyl-diphosphatase,target alteration
Q1Q993,Undecaprenyl-diphosphatase,target alteration
Q1QDA8,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q1QRR2,Undecaprenyl-diphosphatase,target alteration
Q1QZ92,Undecaprenyl-diphosphatase,target alteration
Q1R4M4,Multidrug resistance protein MdtL,efflux pump
Q1R4R9,Purine ribonucleoside efflux pump NepI,efflux pump
Q1R6S4,Undecaprenyl-diphosphatase,target alteration
Q1R9F8,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q1R9G0,Bifunctional polymyxin resistance protein ArnA,target alteration
Q1R9G1,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q1R9Z4,Putative multidrug resistance protein MdtD,efflux pump
Q1R9Z5,Multidrug resistance protein MdtC,efflux pump
Q1R9Z6,Multidrug resistance protein MdtB,efflux pump
Q1RBD2,Multidrug resistance protein MdtK,efflux pump
Q1RBJ8,Spermidine export protein MdtJ,efflux pump
Q1RBJ9,Spermidine export protein MdtI,efflux pump
Q1RD92,Multidrug resistance protein MdtH,efflux pump
Q1RDA5,Multidrug resistance protein MdtG,efflux pump
Q1RE44,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q217L2,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q21C73,Undecaprenyl-diphosphatase,target alteration
Q21II7,Undecaprenyl-diphosphatase,target alteration
Q21XE6,Undecaprenyl-diphosphatase,target alteration
Q28VU8,Undecaprenyl-diphosphatase,target alteration
Q2EHL7,Toxin and drug export protein A,efflux pump
Q2EHL8,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q2FEG3,Metallothiol transferase FosB,product inactivation
Q2FEW4,Multidrug resistance efflux pump SepA,efflux pump
Q2FH03,Quinolone resistance protein NorB,efflux pump
Q2FH23,Response regulator ArlR,efflux pump
Q2FHM0,Probable dual-specificity RNA methyltransferase RlmN,target alteration
Q2FIV6,Undecaprenyl-diphosphatase,target alteration
Q2FIX9,Sensor protein kinase GraS,target alteration
Q2FJS9,Multidrug export protein MepA,efflux pump
Q2FKN7,Sensor protein kinase WalK,target alteration
Q2FVT3,Metallothiol transferase FosB,product inactivation
Q2FW84,Multidrug resistance efflux pump SepA,efflux pump
Q2FYJ5,Quinolone resistance protein NorB,efflux pump
Q2FZ66,Probable dual-specificity RNA methyltransferase RlmN,target alteration
Q2G0B1,HTH-type transcriptional regulator MgrA,efflux pump
Q2G0B4,Undecaprenyl-diphosphatase,target alteration
Q2G140,Multidrug export protein MepA,efflux pump
Q2G2M2,Phosphatidylglycerol lysyltransferase,target alteration
Q2G2U4,Sensor protein kinase WalK,target alteration
Q2G3F4,Undecaprenyl-diphosphatase,target alteration
Q2G506,ATM1-type heavy metal exporter,efflux pump
Q2IMA5,Undecaprenyl-diphosphatase,target alteration
Q2IXX0,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q2J2D8,Undecaprenyl-diphosphatase,target alteration
Q2J4I7,Undecaprenyl-diphosphatase 3,target alteration
Q2J7L5,16S rRNA (guanine(1405)-N(7))-methyltransferase,target alteration
Q2J987,Undecaprenyl-diphosphatase 2,target alteration
Q2JJZ9,Undecaprenyl-diphosphatase,target alteration
Q2JXZ9,Undecaprenyl-diphosphatase,target alteration
Q2KDF4,Undecaprenyl-diphosphatase,target alteration
Q2KVS6,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q2KX31,Undecaprenyl-diphosphatase,target alteration
Q2LXE8,Undecaprenyl-diphosphatase,target alteration
Q2MEY3,16S rRNA (adenine(1408)-N(1))-methyltransferase,target alteration
Q2N736,Undecaprenyl-diphosphatase,target alteration
Q2NRV6,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q2NRV7,Bifunctional polymyxin resistance protein ArnA,target alteration
Q2NRV9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase 2,target alteration
Q2NSZ1,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q2NTK5,Multidrug resistance protein MdtH,efflux pump
Q2NVC0,Spermidine export protein MdtJ,efflux pump
Q2NVC1,Spermidine export protein MdtI,efflux pump
Q2NWA9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase 1,target alteration
Q2NWE3,Undecaprenyl-diphosphatase,target alteration
Q2NXJ3,Undecaprenyl-diphosphatase,target alteration
Q2PT27,Pentapeptide repeat protein QnrB4,target protection
Q2RKY8,Undecaprenyl-diphosphatase,target alteration
Q2RPB4,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q2RTE2,Undecaprenyl-diphosphatase 2,target alteration
Q2RYH3,Undecaprenyl-diphosphatase 1,target alteration
Q2S5P8,Undecaprenyl-diphosphatase,target alteration
Q2SL19,Undecaprenyl-diphosphatase,target alteration
Q2SMN9,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q2SUY6,Undecaprenyl-diphosphatase 2,target alteration
Q2SYE1,Undecaprenyl-diphosphatase 1,target alteration
Q2T4B3,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q2W724,Undecaprenyl-diphosphatase 2,target alteration
Q2W9Z8,Undecaprenyl-diphosphatase 1,target alteration
Q2Y6P3,Undecaprenyl-diphosphatase,target alteration
Q2YJP6,Undecaprenyl-diphosphatase,target alteration
Q2YRG7,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q2YSP8,Undecaprenyl-diphosphatase,target alteration
Q2YSS1,Sensor protein kinase GraS,target alteration
Q2YUQ2,Sensor protein kinase WalK,target alteration
Q2YVH4,Multidrug export protein MepA,efflux pump
Q2YXJ8,Probable dual-specificity RNA methyltransferase RlmN,target alteration
Q2YY03,Response regulator ArlR,efflux pump
Q2YY45,Quinolone resistance protein NorB,efflux pump
Q2YYH7,Multidrug resistance efflux pump SepA,efflux pump
Q30UH8,Undecaprenyl-diphosphatase,target alteration
Q310A3,Undecaprenyl-diphosphatase,target alteration
Q31B42,Undecaprenyl-diphosphatase,target alteration
Q31EL5,Undecaprenyl-diphosphatase,target alteration
Q31LS2,Undecaprenyl-diphosphatase,target alteration
Q31US4,Purine ribonucleoside efflux pump NepI,efflux pump
Q31UW4,Multidrug resistance protein MdtL,efflux pump
Q31WX8,Undecaprenyl-diphosphatase,target alteration
Q31YK0,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q31YK2,Bifunctional polymyxin resistance protein ArnA,target alteration
Q31YK3,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q31ZC0,Multidrug resistance protein MdtH,efflux pump
Q320V5,Spermidine export protein MdtI,efflux pump
Q320V6,Spermidine export protein MdtJ,efflux pump
Q321C2,Multidrug resistance protein MdtK,efflux pump
Q323D8,Putative multidrug resistance protein MdtD,efflux pump
Q323D9,Multidrug resistance protein MdtC,efflux pump
Q323E0,Multidrug resistance protein MdtB,efflux pump
Q323M3,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q323U7,Multidrug transporter MdfA,efflux pump
Q328Z8,Multidrug resistance protein MdtL,efflux pump
Q329F4,Purine ribonucleoside efflux pump NepI,efflux pump
Q32DT1,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q32DT3,Bifunctional polymyxin resistance protein ArnA,target alteration
Q32DT4,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q32DZ9,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q32ES6,Multidrug resistance protein MdtH,efflux pump
Q32FA7,Multidrug resistance protein MdtK,efflux pump
Q32G65,Spermidine export protein MdtI,efflux pump
Q32G66,Spermidine export protein MdtJ,efflux pump
Q33DX5,16S rRNA (guanine(1405)-N(7))-methyltransferase,target alteration
Q38VP0,Undecaprenyl-diphosphatase,target alteration
Q399M3,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q39HK8,Undecaprenyl-diphosphatase 2,target alteration
Q39IU8,Undecaprenyl-diphosphatase 1,target alteration
Q39QX7,Undecaprenyl-diphosphatase,target alteration
Q3A6V2,Undecaprenyl-diphosphatase,target alteration
Q3ACY1,Undecaprenyl-diphosphatase,target alteration
Q3AH68,Undecaprenyl-diphosphatase,target alteration
Q3ATC0,Undecaprenyl-diphosphatase,target alteration
Q3ATR5,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q3AZZ7,Undecaprenyl-diphosphatase,target alteration
Q3B5J7,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q3B5P9,Undecaprenyl-diphosphatase,target alteration
Q3BZ95,Undecaprenyl-diphosphatase,target alteration
Q3IDA4,Undecaprenyl-diphosphatase 2,target alteration
Q3IHV1,Undecaprenyl-diphosphatase 1,target alteration
Q3IYQ0,Undecaprenyl-diphosphatase,target alteration
Q3J7B5,Undecaprenyl-diphosphatase,target alteration
Q3JGG7,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q3JPL1,Undecaprenyl-diphosphatase 2,target alteration
Q3JTI8,Undecaprenyl-diphosphatase 1,target alteration
Q3K3N4,Undecaprenyl-diphosphatase,target alteration
Q3K9J0,Undecaprenyl-diphosphatase 2,target alteration
Q3KCB9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase 2,target alteration
Q3KCC1,Bifunctional polymyxin resistance protein ArnA,target alteration
Q3KCC2,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q3KCC9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase 1,target alteration
Q3KD12,Undecaprenyl-diphosphatase 1,target alteration
Q3KE48,Macrolide export ATP-binding/permease protein MacB 2,efflux pump
Q3KF57,Macrolide export ATP-binding/permease protein MacB 1,efflux pump
Q3MFH9,Undecaprenyl-diphosphatase,target alteration
Q3SFG5,Undecaprenyl-diphosphatase,target alteration
Q3SQZ1,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q3SWA8,Undecaprenyl-diphosphatase,target alteration
Q3YWE6,Purine ribonucleoside efflux pump NepI,efflux pump
Q3YWK3,Multidrug resistance protein MdtL,efflux pump
Q3YXI5,Undecaprenyl-diphosphatase,target alteration
Q3YZU9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q3YZV1,Bifunctional polymyxin resistance protein ArnA,target alteration
Q3YZV2,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q3Z0C7,Putative multidrug resistance protein MdtD,efflux pump
Q3Z0C8,Multidrug resistance protein MdtC,efflux pump
