CARD Accession (4571),Protein Accession,Description,Resistance Mechanism,Drug Class
ARO:3005941,WP_122630855.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005942,WP_128268238.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005943,WP_114225343.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005944,WP_128268239.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005945,WP_128268240.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005946,WP_128268241.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005947,WP_128268242.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005948,WP_128268243.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005949,WP_128268244.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005950,WP_128268245.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005951,WP_128268246.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005952,WP_128268247.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005953,WP_128268248.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005954,WP_128268249.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005955,WP_128268250.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005956,WP_128268251.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005957,WP_128268252.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005958,WP_128268253.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005959,WP_128268254.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005960,WP_128268255.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005961,WP_128268256.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005962,WP_128268257.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005963,WP_128268258.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005964,WP_128268259.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005965,WP_128268260.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005966,WP_128268261.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005967,WP_128268262.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005968,WP_128268263.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005969,WP_128268264.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005970,WP_128268265.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005971,WP_128268266.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005972,WP_128268267.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005973,WP_128268268.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005974,WP_128268269.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005975,WP_128268270.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005976,WP_128268271.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005977,WP_128268272.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005978,WP_128268273.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005979,WP_128268274.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005980,WP_128268275.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005981,WP_122630923.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005982,WP_122630924.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005983,WP_049637206.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005984,WP_128268276.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005985,WP_128268277.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005986,WP_128268278.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005987,WP_065980086.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005988,WP_126205827.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005989,WP_128268279.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005990,WP_136512083.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005991,WP_136512084.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005992,WP_054500785.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005993,WP_136512085.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005994,WP_136512086.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005995,WP_136512087.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005996,WP_110612827.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005997,WP_136512088.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005998,WP_136512089.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3005999,WP_136512090.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006000,WP_136512091.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006001,WP_136512092.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006002,WP_136512093.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006003,WP_136512094.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006004,WP_136512095.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006005,WP_136512096.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006006,WP_136512097.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006007,WP_136512098.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006008,WP_136512099.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006009,WP_136512100.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006010,WP_136512101.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006011,WP_136512102.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006012,WP_005404206.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006013,WP_005405613.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006014,WP_111280830.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006015,WP_026444036.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006016,WP_075040046.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006017,WP_032053762.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006018,WP_032057042.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006019,WP_057061999.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006020,WP_133973918.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006021,WP_136512103.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006022,WP_136512104.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006023,WP_140423319.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006024,WP_140423320.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006025,WP_140423321.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006026,WP_140423322.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006027,WP_152315468.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006028,WP_140423323.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006029,WP_086264536.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006030,WP_140423324.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006031,WP_125052736.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006032,WP_148044423.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006033,WP_150823471.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006034,WP_150823472.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006035,WP_150823473.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006036,WP_087088911.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006037,WP_150823474.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006038,WP_150823475.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006039,WP_150823476.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006040,WP_010793618.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006041,WP_019485147.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006042,WP_150823477.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006043,WP_014603442.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006044,WP_152315469.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006045,WP_114252036.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006046,WP_114158997.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006047,WP_032061328.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006048,WP_001021774.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006049,WP_152315470.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006050,WP_152315471.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006051,WP_152315472.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006052,WP_152315473.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006053,WP_152315474.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006054,WP_152315475.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006055,WP_152315476.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006056,WP_152315477.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006057,WP_152315478.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006058,WP_152315479.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006059,WP_152315480.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006060,WP_152315481.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006061,WP_152315482.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006062,WP_152315483.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006063,WP_152315484.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006064,WP_152315485.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006065,WP_152315486.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006066,WP_152315487.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006067,WP_152315488.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006068,WP_152315489.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006069,WP_152315490.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006070,WP_152315491.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006071,WP_152315492.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006072,WP_152315493.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006073,WP_152315494.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006074,WP_152315495.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006075,WP_152315496.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006076,WP_152315497.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006077,WP_152315498.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006078,WP_152315499.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006079,WP_152315500.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006080,WP_152315501.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006081,WP_152315502.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006082,WP_152315503.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006083,WP_152315504.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006084,WP_152315505.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006085,WP_194293137.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006086,WP_144376393.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006087,WP_156404658.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006088,WP_178317675.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006089,WP_031757092.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006090,WP_024916334.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006091,WP_164461291.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006092,WP_003122322.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006093,WP_003161096.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006094,WP_164461292.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006095,WP_031694184.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006096,WP_162278338.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006097,WP_162280230.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006098,WP_168247884.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006099,WP_040068451.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006100,WP_031691948.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006101,WP_023132404.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006102,WP_171476790.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006103,WP_161507793.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006104,WP_179284333.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006105,WP_007879679.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006106,WP_179284336.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006107,WP_179284339.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006108,WP_188331876.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006109,WP_179284342.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006110,WP_179284345.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006111,WP_100507493.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006112,WP_047480628.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006113,WP_188331877.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006114,WP_188331878.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006115,WP_121331722.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006116,WP_141989064.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006117,WP_034081711.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006118,WP_086263559.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006119,WP_086261538.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006120,WP_086442870.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006121,WP_086395021.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006122,WP_078225401.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006123,WP_086398931.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006124,WP_204376235.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006125,WP_204376236.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006126,WP_204376237.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006127,WP_204376238.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006128,WP_204376239.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006129,WP_063842752.1,OXY beta-lactamase,product inactivation,cephalosporin;monobactam;penam
ARO:3006130,WP_063864550.1,OXY beta-lactamase,product inactivation,cephalosporin;monobactam;penam
ARO:3006131,WP_001100752.1,PER beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam;penem
ARO:3006132,WP_104009831.1,PER beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam;penem
ARO:3006133,WP_096865225.1,PER beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam;penem
ARO:3006134,WP_136512105.1,PER beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam;penem
ARO:3006135,WP_156404659.1,PER beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam;penem
ARO:3006136,WP_168247906.1,PER beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam;penem
ARO:3006137,WP_202089433.1,PER beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam;penem
ARO:3006138,WP_063864597.1,PER beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam;penem
ARO:3006139,WP_063865138.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3006140,WP_063865144.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3006141,WP_023289605.1,OKP beta-lactamase,product inactivation,cephalosporin;penam
ARO:3006142,WP_064183695.1,OKP beta-lactamase,product inactivation,cephalosporin;penam
ARO:3006143,WP_087833272.1,OKP beta-lactamase,product inactivation,cephalosporin;penam
ARO:3006144,WP_122543028.1,OKP beta-lactamase,product inactivation,cephalosporin;penam
ARO:3006145,WP_023318187.1,OKP beta-lactamase,product inactivation,cephalosporin;penam
ARO:3006146,WP_156404657.1,OKP beta-lactamase,product inactivation,cephalosporin;penam
ARO:3006147,WP_087771722.1,OKP beta-lactamase,product inactivation,cephalosporin;penam
ARO:3006148,WP_060655783.1,OKP beta-lactamase,product inactivation,cephalosporin;penam
ARO:3006149,WP_114508147.1,OKP beta-lactamase,product inactivation,cephalosporin;penam
ARO:3006150,WP_049003700.1,OKP beta-lactamase,product inactivation,cephalosporin;penam
ARO:3006151,WP_048324114.1,OKP beta-lactamase,product inactivation,cephalosporin;penam
ARO:3006152,WP_136034107.1,OKP beta-lactamase,product inactivation,cephalosporin;penam
ARO:3006153,WP_080897395.1,OKP beta-lactamase,product inactivation,cephalosporin;penam
ARO:3006154,WP_065158950.1,BEL beta-lactamase,product inactivation,cephalosporin;monobactam;penam
ARO:3006155,WP_063859570.1,CME beta-lactamase,product inactivation,penam
ARO:3006156,WP_063860512.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006157,WP_063860513.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006158,WP_063860514.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006159,WP_063860516.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006160,WP_063860517.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006161,WP_069280709.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006162,WP_085562419.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006163,WP_102607460.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006164,WP_111273848.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006165,WP_111273849.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006166,WP_111273850.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006167,WP_122630826.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006168,WP_122630827.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006169,WP_123002100.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006170,WP_135350920.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006171,WP_148044413.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006172,WP_148044414.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006173,WP_188331868.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006174,WP_188331869.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006175,WP_197749401.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3006176,WP_064190970.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3006177,WP_094009809.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3006178,WP_077064887.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3006179,WP_085562404.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3006180,WP_094009816.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3006181,WP_100086555.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3006182,WP_136512067.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3006183,WP_140423310.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3006184,WP_194293133.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3006185,WP_204376228.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3006186,WP_140423311.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006187,WP_179284320.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006188,WP_179284322.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006189,WP_179284324.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006190,WP_179284328.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006191,WP_204376229.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006192,WP_204376230.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006193,WP_204376231.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006194,WP_204376232.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006195,WP_188331871.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006196,WP_194293134.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006197,WP_188331872.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006198,WP_188331873.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006199,WP_188331874.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006200,WP_188331875.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006201,WP_194293135.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006202,WP_194293136.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006203,WP_197749403.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006204,WP_197749404.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006205,WP_204376233.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006206,WP_204376234.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006207,WP_202781289.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3006208,WP_063865151.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3006209,WP_063865152.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3006210,WP_063865153.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3006211,WP_063865154.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3006212,WP_063865155.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3006213,WP_063865157.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3006214,WP_094009812.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3006215,WP_128268286.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3006216,WP_044103626.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3006217,WP_148044475.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3006218,WP_156404662.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3006219,WP_156404663.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3006220,WP_160164840.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3006221,WP_179284393.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
